1 1:0 2:0 3:0 4:0 5:0 6:0 7:4538.5 8:4858.5 
1 1:3 2:113 3:68 4:26 5:30 6:30 7:4027.5 8:5380.5 
1 1:2 2:113 3:66 4:31 5:31 6:31 7:4128 8:5275.5 
1 1:4 2:131 3:99 4:75 5:12 6:30 7:3696.5 8:5773.5 
1 1:2 2:119 3:66 4:30 5:30 6:30 7:4023 8:5269.5 
1 1:5 2:165 3:118 4:95 5:64 6:32 7:4461 8:5642 
1 1:3 2:119 3:101 4:68 5:32 6:32 7:4291.5 8:5384.5 
1 1:4 2:160 3:117 4:66 5:28 6:30 7:4180.5 8:5392.5 
1 1:3 2:120 3:101 4:69 5:32 6:32 7:4270.5 8:5381.5 
1 1:4 2:156 3:98 4:64 5:22 6:30 7:4570.5 8:5910 
1 1:4 2:118 3:99 4:67 5:27 6:30 7:4341 8:5457 
1 1:3 2:114 3:86 4:14 5:27 6:27 7:3992 8:4921.5 
1 1:3 2:121 3:94 4:42 5:31 6:31 7:3970 8:5242.5 
2 1:0 2:0 3:0 4:0 5:0 6:0 7:3167.5 8:3577 
2 1:2 2:65 3:24 4:30 5:30 6:30 7:7313 8:7805 
2 1:1 2:60 3:24 4:24 5:24 6:24 7:3368.5 8:3730 
2 1:2 2:126 3:1 4:23 5:23 6:23 7:3466 8:3674 
2 1:1 2:134 3:26 4:26 5:26 6:26 7:2863 8:3608 
2 1:1 2:54 3:26 4:26 5:26 6:26 7:2952 8:3284  
2 1:1 2:22 3:22 4:22 5:22 6:22 7:3560 8:3659.5 
2 1:2 2:130 3:64 4:33 5:33 6:33 7:5828 8:6284.5 
2 1:3 2:125 3:63 4:15 5:27 6:27 7:8296 8:9003.5 
2 1:2 2:66 3:37 4:26 5:26 6:26 7:6712.5 8:7500 
2 1:1 2:15 3:21 4:21 5:21 6:21 7:8121.5 8:9452.5 
2 1:1 2:43 3:22 4:22 5:22 6:22 7:3668 8:3928 
2 1:1 2:67 3:36 4:36 5:36 6:36 7:5895.5 8:6159.5 
2 1:0 2:23 3:23 4:23 5:23 6:23 7:3964.5 8:4233.5 
2 1:2 2:154 3:101 4:28 5:28 6:28 7:3083 8:3847 
2 1:1 2:150 3:25 4:25 5:25 6:25 7:3087 8:4008.5 
2 1:1 2:150 3:24 4:24 5:24 6:24 7:2840 8:3710 
2 1:2 2:142 3:35 4:31 5:31 6:31 7:2738.5 8:3183 
2 1:2 2:137 3:36 4:27 5:27 6:27 7:3200.5 8:4199 
2 1:2 2:126 3:48 4:29 5:29 6:29 7:2830.5 8:3891 
2 1:2 2:129 3:43 4:27 5:27 6:27 7:2323.5 8:3267.5 
2 1:1 2:139 3:24 4:24 5:24 6:24 7:3220 8:3743 
2 1:1 2:150 3:28 4:28 5:28 6:28 7:2938.5 8:3686 
2 1:2 2:81 3:40 4:28 5:28 6:28 7:3746.5 8:3844 
2 1:0 2:32 3:32 4:32 5:32 6:32 7:3427.5 8:3669.5 
2 1:1 2:75 3:23 4:23 5:23 6:23 7:3841.5 8:4108.5 
2 1:1 2:77 3:27 4:27 5:27 6:27 7:3678 8:3904 
2 1:0 2:25 3:25 4:25 5:25 6:25 7:3784.5 8:3855 
2 1:1 2:82 3:27 4:27 5:27 6:27 7:5083 8:5290.5 
2 1:0 2:26 3:26 4:26 5:26 6:26 7:3578 8:3670.5 
2 1:0 2:26 3:26 4:26 5:26 6:26 7:3794 8:3885 
2 1:0 2:23 3:23 4:23 5:23 6:23 7:4056.5 8:4162.5 
2 1:2 2:126 3:70 4:31 5:31 6:31 7:2764.5 8:3403 
2 1:0 2:27 3:27 4:27 5:27 6:27 7:3409 8:3574.5 
2 1:1 2:45 3:25 4:25 5:25 6:25 7:3550.5 8:3750.5 
2 1:1 2:124 3:26 4:26 5:26 6:26 7:3457 8:3614.5 
2 1:2 2:120 3:39 4:24 5:24 6:24 7:3546 8:3733 
2 1:2 2:119 3:38 4:26 5:26 6:26 7:3264 8:3800.5 
2 1:2 2:126 3:52 4:31 5:31 6:31 7:3503.5 8:3672 
2 1:2 2:132 3:46 4:28 5:28 6:28 7:3307 8:3498 
2 1:3 2:147 3:84 4:49 5:29 6:29 7:3028.5 8:3515.5 
2 1:3 2:126 3:79 4:38 5:26 6:26 7:3493.5 8:3681.5 
2 1:1 2:43 3:27 4:27 5:27 6:27 7:3416.5 8:3612 
2 1:1 2:128 3:27 4:27 5:27 6:27 7:3432 8:3643.5 
2 1:1 2:143 3:26 4:26 5:26 6:26 7:3359.5 8:3849 
2 1:1 2:42 3:28 4:28 5:28 6:28 7:3458.5 8:3649.5 
2 1:2 2:137 3:79 4:28 5:28 6:28 7:3122 8:3637 
2 1:2 2:134 3:111 4:28 5:28 6:28 7:2871.5 8:3409 
2 1:1 2:57 3:25 4:25 5:25 6:25 7:3604.5 8:3820.5 
2 1:1 2:81 3:29 4:29 5:29 6:29 7:3422.5 8:3509 
2 1:2 2:132 3:60 4:25 5:25 6:25 7:3345.5 8:4017 
2 1:1 2:52 3:23 4:23 5:23 6:23 7:3409.5 8:3616 
2 1:2 2:90 3:43 4:23 5:23 6:23 7:3938.5 8:4092.5 
2 1:0 2:25 3:25 4:25 5:25 6:25 7:3794 8:3880 
2 1:2 2:141 3:69 4:30 5:30 6:30 7:3637 8:3814 
2 1:2 2:71 3:35 4:25 5:25 6:25 7:3697.5 8:3879 
2 1:0 2:27 3:27 4:27 5:27 6:27 7:4099 8:4246 
2 1:0 2:28 3:28 4:28 5:28 6:28 7:3950 8:4082.5 
2 1:0 2:23 3:23 4:23 5:23 6:23 7:4053.5 8:4184.5 
2 1:0 2:27 3:27 4:27 5:27 6:27 7:3890.5 8:4002.5 
2 1:1 2:89 3:26 4:26 5:26 6:26 7:3686 8:3848.5 
2 1:2 2:154 3:42 4:25 5:25 6:25 7:3329 8:3894.5 
2 1:2 2:156 3:48 4:22 5:22 6:22 7:3665 8:4184 
2 1:1 2:59 3:27 4:27 5:27 6:27 7:3593.5 8:3779.5 
2 1:2 2:148 3:66 4:30 5:30 6:30 7:3522 8:3968 
2 1:1 2:142 3:22 4:22 5:22 6:22 7:2604.5 8:3103.5 
2 1:3 2:139 3:70 4:6 5:26 6:26 7:3271 8:3883 
2 1:1 2:70 3:25 4:25 5:25 6:25 7:3836.5 8:4118.5 
2 1:2 2:151 3:46 4:25 5:25 6:25 7:3875 8:4066 
2 1:2 2:158 3:37 4:26 5:26 6:26 7:3689.5 8:4180 
2 1:1 2:36 3:27 4:27 5:27 6:27 7:4178.5 8:4298 
2 1:2 2:157 3:77 4:25 5:25 6:25 7:3947 8:4183 
2 1:1 2:153 3:23 4:23 5:23 6:23 7:3787.5 8:4083.5 
2 1:3 2:152 3:82 4:41 5:26 6:26 7:3607.5 8:4202 
2 1:0 2:26 3:26 4:26 5:26 6:26 7:4171.5 8:4276.5 
2 1:0 2:23 3:23 4:23 5:23 6:23 7:3989.5 8:4184 
2 1:0 2:25 3:25 4:25 5:25 6:25 7:3999 8:4200 
2 1:2 2:144 3:42 4:26 5:26 6:26 7:4019 8:4255 
2 1:2 2:134 3:75 4:28 5:28 6:28 7:3325 8:4195.5 
2 1:2 2:134 3:77 4:35 5:35 6:35 7:3410 8:4053 
2 1:1 2:81 3:32 4:32 5:32 6:32 7:3024 8:3918.5 
2 1:2 2:135 3:73 4:31 5:31 6:31 7:3417.5 8:4367.5 
2 1:2 2:124 3:11 4:29 5:29 6:29 7:2725.5 8:2888.5 
2 1:2 2:126 3:26 4:32 5:32 6:32 7:3018.5 8:3721.5 
2 1:2 2:157 3:129 4:31 5:31 6:31 7:2693 8:3013.5 
2 1:2 2:158 3:135 4:24 5:24 6:24 7:2969.5 8:3281 
2 1:2 2:141 3:98 4:30 5:30 6:30 7:2864 8:3262 
2 1:1 2:156 3:30 4:30 5:30 6:30 7:2816.5 8:3710 
2 1:1 2:147 3:27 4:27 5:27 6:27 7:3093.5 8:4129 
2 1:2 2:147 3:55 4:25 5:25 6:25 7:3500 8:4466 
2 1:1 2:160 3:24 4:24 5:24 6:24 7:3547 8:4366 
2 1:1 2:156 3:26 4:26 5:26 6:26 7:3706.5 8:4121.5 
2 1:2 2:143 3:66 4:30 5:30 6:30 7:3745 8:4127.5 
